Title,Video ID,Channel,Published At,URL,Description,Video Length,Views,Likes,Comments
RFK And Sanders Get Into Testy Exchange After RFK Accuses Him Of Accepting Big Pharma Money,LDb4DtXAQDs,Forbes Breaking News,2025-01-30T18:30:16Z,https://www.youtube.com/watch?v=LDb4DtXAQDs,"During a Senate Health Committee hearing to consider the nomination of RFK Jr. to serve as HHS Secretary, Sen. Bernie Sanders ...",201,186477,2705,1842
Big Pharma's Patent Loophole Exposed #inhaler #bigpharmaexposed #drugpricescandal #medicalcorruption,hwzOXSoIeOI,Cenator TV 📺 ,2025-01-30T04:15:03Z,https://www.youtube.com/watch?v=hwzOXSoIeOI,,86,13,1,0
Why You CAN’T Lose Weight (It’s NOT Your Fault! 🔥 Big Pharma’s Dirty Secret) #holisticjourney,L3xgXaiQdqY,Healing with Excellence,2025-01-29T23:50:00Z,https://www.youtube.com/watch?v=L3xgXaiQdqY,"The scale isn't broken—the SYSTEM is.” ⚠️ In this explosive video, Kimberly Miller exposes: ✓ How Big Food + Pharma profit ...",43,0,0,0
Big Pharma’s Best Friend? Fauci’s Cash Flow Exposed #podcast,i2iVRfV-FiQ,The Last Nationalist,2025-01-29T23:30:11Z,https://www.youtube.com/watch?v=i2iVRfV-FiQ,,39,13,3,0
Big Pharma Advertising: The Shocking Truth Exposed,TE06FJgSxGU,FutureFables,2025-01-29T02:23:01Z,https://www.youtube.com/watch?v=TE06FJgSxGU,We dive deep into the controversial practice of pharmaceutical companies advertising on media. With a focus on the lack of data ...,101,2,2,0
EXPOSED: The Weight Loss Secret Big Pharma Hides. #loseweight #weighlosstips,4ShVswjBcMw,WeightlossChris,2025-01-28T04:15:00Z,https://www.youtube.com/watch?v=4ShVswjBcMw,"Your metabolism can be unpredictable, like a ticking time bomb. In this video, we break down what metabolism is and how it ...",40,0,0,0
Pharma Giant's $1B HIV Scandal Exposed #shorts,0qFIsEmKf1w,Entrepreneurship Blueprint ,2025-01-27T18:00:01Z,https://www.youtube.com/watch?v=0qFIsEmKf1w,Pharma Giant's $1B HIV Scandal Exposed #shorts #shortsvideo #pharmaceuticals #bayerscandal #medicalhistory ...,49,0,0,0
Jim & Jenny’s Bold Questions on Big Pharma Exposed – Larry King Live Flashback,8QzOGJibbRU,klaus mikaelson,2025-01-26T05:44:42Z,https://www.youtube.com/watch?v=8QzOGJibbRU,"Here are some title ideas, hashtags, and keywords for your video: ### **Title Ideas:** 1. **""Jim & Jenny's Bold Questions on Big ...",90,12,0,0
Elon Musk & Rogan | Big Pharma Exposed #shorts #elonmusk #joeroganexperience,kS0qsCm0Qik,Best Of Podcasts,2025-01-24T06:30:17Z,https://www.youtube.com/watch?v=kS0qsCm0Qik,shorts #jre #pharmacy #freedom #usa #joerogan.,86,13,0,0
First World Healthcare EXPOSED: Big Pharma's Slimy Grip on Society | FiRSTWORLDcomic,vbabZJ6_HEM,FiRSTWORLDcomic,2025-01-23T20:00:36Z,https://www.youtube.com/watch?v=vbabZJ6_HEM,"In First World healthcare, the price of treatment is high, and so is the chaos! Meet Big Pharma, the gluttonous giant of the ...",115,4408,82,5
EXPOSING How Big Pharma CONTROL Our Health #shortvideo #shorts #pharma #exposed #viralshort,yAiDMlJeNBw,youtube shorts,2025-01-23T01:27:39Z,https://www.youtube.com/watch?v=yAiDMlJeNBw,EXPOSING How Big Pharma CONTROL Our Health #shortvideo #shorts #crisis #health #healthcare #pharma #exposed.,86,0,0,0
Joe Rogan on Health: Big Pharma Exposed?,Lt0JzZL1Ivc,beyond ordinary,2025-01-21T23:17:58Z,https://www.youtube.com/watch?v=Lt0JzZL1Ivc,"Uncover the shocking truth about the health industry and its connection to pharmaceuticals! We explore the impact of nutrition, ...",20,36,0,0
Trump and Joe Rogan EXPOSE Big Pharma's Dirty Secret! #trump,S5QyuBS9O48,MiniPodCast Highlights,2025-01-19T02:27:34Z,https://www.youtube.com/watch?v=S5QyuBS9O48,"Big Pharma's Biggest Lie EXPOSED by Trump on Joe Rogan! In this explosive clip from The Joe Rogan Experience, Donald ...",53,8,2,2
Joe Rogan  Big Pharma's Vaccine Lies Exposed! #shorts #joerogan  #tiktok,IGzmNbRDPjw,IconsWorld,2025-01-16T23:00:25Z,https://www.youtube.com/watch?v=IGzmNbRDPjw,Joe Rogan's podcast tackles vaccine information suppression and its impact. We explore the 'red-pilling' effect of censorship and ...,35,13,0,0
Joe Rogan: Big Pharma's Vaccine Lies Exposed!,BnulU7gdSlQ,Themoistchoice,2025-01-15T13:16:10Z,https://www.youtube.com/watch?v=BnulU7gdSlQ,Joe Rogan unleashes truth bombs on vaccine information suppression in this explosive podcast episode! Hear his unfiltered take ...,20,6,0,0
"CASTOR OIL SHOCKING SECRETS , THAT BIG PHARMA DONT WANT YOU TO KNOW",HUdUGh-WpDs,MediForge,2025-01-15T00:52:28Z,https://www.youtube.com/watch?v=HUdUGh-WpDs,"CASTOR OIL SHOCKING SECRETS , THAT BIG PHARMA DONT WANT YOU TO KNOW Discover the shocking secrets of castor ...",183,13,1,0
Insider's Revelation Big Pharma's Secrets Exposed,cGhKClrFqeg,Crazy_Clipz,2025-01-11T21:16:02Z,https://www.youtube.com/watch?v=cGhKClrFqeg,AWSOME.,61,0,0,0
He Just Exposed How Big Pharma Does Business,Dm2xy0gGAp4,Shawn Ryan Clips,2025-01-09T22:00:11Z,https://www.youtube.com/watch?v=Dm2xy0gGAp4,Join this channel to get access to perks: https://www.youtube.com/channel/UCkoujZQZatbqy4KGcgjpVxQ/join Support the Shawn ...,58,18770,2128,64
Big Pharma Exposed How Insurance Companies Manipulate Us,f5B5djbkEe8,The Quantum Manifestation Series,2025-01-08T19:00:24Z,https://www.youtube.com/watch?v=f5B5djbkEe8,Watch full episode: https://rumble.com/v65wuks-marina-jacobi-new-beginning-s8-e1.html Marina Jacobi's Official Website and ...,149,737,98,1
The DARK SIDE of Big Pharma EXPOSED,lmamHVOJvrw,Jeremy Ryan Slate,2025-01-08T18:00:35Z,https://www.youtube.com/watch?v=lmamHVOJvrw,The Truth About Big Pharma's Secret Doctor #shorts #viral #BigPharma #DoctorExposed #PharmaceuticalIndustry ...,,,,
💊💸 Trump Exposes the Healthcare Scam: Middle Class Deserves Better! 💥🇺🇸#medical #usa #donaldtrump,6aPqVbf3gew,Intellect Snack,2025-01-07T00:30:05Z,https://www.youtube.com/watch?v=6aPqVbf3gew,"Donald Trump exposes the truth about America's overpriced healthcare system, the struggles of the middle class, and the ...",36,30,0,0
Big Pharma's $100 BILLION Profit Scam EXPOSED!,ndh-XOnrAeE,True Voice Network,2025-01-06T15:09:06Z,https://www.youtube.com/watch?v=ndh-XOnrAeE,shorts #politics #trump.,,,,
Big Pharma's SHOCKING Grip on Medicine Prices EXPOSED,p63T3yGyAOs,The Big Picture,2025-01-02T09:51:24Z,https://www.youtube.com/watch?v=p63T3yGyAOs,Did you know Big Pharma manipulates medicine prices and influences every corner of healthcare? From price gouging life-saving ...,60,28,3,0
RFK Jr. EXPOSES Bernie Sanders for Taking Money from Big Pharma..,je_5rxMlYWI,Luke Pipala,2025-02-05T21:49:49Z,https://www.youtube.com/watch?v=je_5rxMlYWI,"Recently at his confirmation hearing for health and human services secretary, Robert Kennedy Junior exposed Bernie Sanders for ...",238,31,1,0
Dr. Fauci’s Lab of Lies EXPOSED! 🔬 The Parody They Want To Censor! #parody #satire,v4p6v6v658g,The Healing Front,2025-01-31T20:45:45Z,https://www.youtube.com/watch?v=v4p6v6v658g,"WATCH BEFORE IT'S CENSORED! The ultimate parody song exposing the mad science, big pharma profits, and political ...",,,,
How hiring cheap help exposed big pharmaceutical companies #rfkjr,NXF9MkjD9jw,Pirate Medz,2025-02-14T04:58:47Z,https://www.youtube.com/watch?v=NXF9MkjD9jw,,181,59,9,0
How Big Pharma Keeps You Sick for Profit (6) | Dr. Eric Berg Exposes the Truth,QPWdaIEqxtE,HEALTHWITH julius,2025-03-21T03:34:58Z,https://www.youtube.com/watch?v=QPWdaIEqxtE,"Is Big Pharma really invested in your health—or just in their profits? In this eye-opening video, Dr. Eric Berg breaks down how the ...",90,45,7,0
Kids’ Show EXPOSES Big Pharma &amp; Health Insurance Scam—Dana White &amp; RFK Jr. Speak Out,wQGiKUtucmA,Derek Alexander,2025-02-01T21:50:23Z,https://www.youtube.com/watch?v=wQGiKUtucmA,A children's cartoon just exposed one of the biggest scams in the world—health insurance and Big Pharma's endless profit cycle.,124,15,1,0
"""Trust me i'm a Psych"" - Diagnosis Labels & Medications EXPOSED!",PvFDAQmVgpE,Light in the Darkness Guidance and Transformation,2025-01-30T12:37:21Z,https://www.youtube.com/watch?v=PvFDAQmVgpE,This video exposes Psychiatrists and the failed Mental Health systems that have continued to fail Humanity. Dive deep into the ...,132,7,0,0
Big Pharma: The Truth They Don’t Want You to Know,rfzKwX9Y_HA,Truth Exposed 🔥,2025-03-14T18:24:52Z,https://www.youtube.com/watch?v=rfzKwX9Y_HA,"The Truth About Big Pharma They Don't Want You to Know! Pharmaceutical companies claim to prioritize our health, but is that ...",111,22,1,0
