Title,Video ID,Channel,Published At,URL,Description,Video Length,Views,Likes,Comments
1-Minute Exercise to Boost Heart Health Naturally ❤️ | Simple Heart Care Routine,CyCFQa5oLLs,YOGA SHAKTI,2025-03-21T12:00:26Z,https://www.youtube.com/watch?v=CyCFQa5oLLs,Discover a simple 1-minute exercise that can help you maintain a healthy heart and improve blood circulation. Regular practice of ...,35,65646,1874,12
Musician Rick Beato emphasizes prioritizing heart health.,BsCXFjoralk,Cleveland Clinic,2025-02-28T12:15:01Z,https://www.youtube.com/watch?v=BsCXFjoralk,"After a quick recovery, multi-instrumentalist @RickBeato says it's hard to believe he ever underwent open-heart surgery.",58,283705,6521,290
"4 Powerful Mudras for Brain & Heart Health, Pain Relief, and Digestion – Must Try!",JiM5j0-h4As,YOGA SHAKTI,2025-02-05T12:00:23Z,https://www.youtube.com/watch?v=JiM5j0-h4As,Heal Your Body Naturally with These 4 Powerful Mudras! Did you know that simple hand gestures (Mudras) can help you ...,17,49100,953,9
Test to prevent heart attack. হার্ট অ্যাটাক আটকানোর টেস্ট।  #heartattack #hearthealth ##cardiac,6DYYVhpgP0Y,DR S A MALLICK,2025-03-12T16:30:03Z,https://www.youtube.com/watch?v=6DYYVhpgP0Y,investigations #imaging #heart #coronaryartery #coronaryheartdisease #coronaryarterydisease #cardiachealth.,58,35667,1253,16
I Ranked the Best Foods for Heart Health,RbsBcq3cxlw,Dr. Ford Brewer,2025-03-25T13:25:32Z,https://www.youtube.com/watch?v=RbsBcq3cxlw,Check our NEW Metabolic Risk Assessment Kit: http://drfordbrewermd.com/kit/ Join this channel to get access to the perks: ...,39,65939,2068,64
Top 5 Foods Worst For Your Heart #health #healthtips #heart,gxJnXjpdQJA,Paw-some Adventures,2025-01-03T05:00:35Z,https://www.youtube.com/watch?v=gxJnXjpdQJA,Top 5 Foods Worst For Your Heart #health #healthtips #heart.,61,25215,983,8
Common Misconceptions About Heart Health - Dr Ramakanta panda | Raj Shamani #shorts,Lpkmw1DoltY,Raj Shamani Shorts,2025-03-13T15:00:27Z,https://www.youtube.com/watch?v=Lpkmw1DoltY,Subscribe To Our Primary/Podcast Channel: https://www.youtube.com/@rajshamani ☑️ Subscribe To Our Clips Channel: ...,38,23816,1466,7
250348-1.Goodf sleep. 2.Improve heart health.,NAfIb5jdy10,Taichi Zidong,2025-03-18T10:18:18Z,https://www.youtube.com/watch?v=NAfIb5jdy10,"https://taichizidong.com Specific exercise improve symptoms, daily full-body exercises remove root causes. 250348- 1.Goodf ...",14,22571,2158,33
Try these ‘essential’ 8 ways to improve your heart health in 2025,LKTVUuQd_6Y,TODAY,2025-02-04T16:45:00Z,https://www.youtube.com/watch?v=LKTVUuQd_6Y,Heart disease is the leading cause of death for men and women in the United States. American Heart Association's incoming ...,220,19107,281,13
Heart Health: Alarming Stats & 5 Ways to Keep Your Heart Healthy | ft Dr Vanita Arora,vNNVnw-L1lk,Apollo Hospitals Delhi,2025-03-18T17:01:05Z,https://www.youtube.com/watch?v=vNNVnw-L1lk,"In this podcast teaser, we sit down with Dr. Vanita Arora, India's leading cardiologist, to discuss the alarming rise of heart diseases ...",90,18069,169,1
Best veggies for heart health and infection! #healthyfoods #healthy #wellness #veggies #foodhealthy,OgptjuBpcmg,Holistic Care,2025-03-26T07:09:18Z,https://www.youtube.com/watch?v=OgptjuBpcmg,vegeta #wellness #superfood #healthydiet #healthyeating #nutritiontips #bonehealth #healthyfood #balanceddiet ...,12,15226,610,3
Best Heart Health Juice ever♥️ #shorts #hearthealth #food #asmr,N_97mhx8rpc,Indian ASMR Gallery,2025-03-12T12:30:17Z,https://www.youtube.com/watch?v=N_97mhx8rpc,"Healthy Heart Juice: Apple, Pomegranate & Beetroot ❤️ | Boost Your Heart Health Naturally! Looking to keep your heart ...",25,19312,0,0
This Is INCREDIBLE For Your Heart Health and Erection!,mEndzXWPbq4,DrRachael Ross,2025-03-26T16:08:31Z,https://www.youtube.com/watch?v=mEndzXWPbq4,Unlock a simple secret for boosting your health – nasal breathing and humming! 🌬️ Your sinuses aren't just for breathing; ...,37,18574,1413,26
#heart#hearthealth#heartbeat#control#mudra#yoga#yogapose#health#healthylifestyle#youtubeshorts#short,ouSWiYZp7IE,YOG MUDRA,2025-03-12T05:11:11Z,https://www.youtube.com/watch?v=ouSWiYZp7IE,,7,13647,410,2
Echo Features of Pericardial Tamponade #echocardiography #heartdisease #heart #health,sTa7Zrb0sDw,Dr. M Usman Javed,2025-01-19T12:07:16Z,https://www.youtube.com/watch?v=sTa7Zrb0sDw,"The main echocardiographic findings of pericardial tamponade consist of a pericardial effusion, diastolic right ventricular collapse ...",21,21129,637,17
