Title,Video ID,Channel,Published At,URL,Description,Video Length,Views,Likes,Comments
Colorectal Cancer Awareness Month. #colorectalcancerawareness #cancer #cancerawareness #cancercare,5A_cSFmU4w8,Dr. Nikhil Agrawal,2025-03-23T08:14:55Z,https://www.youtube.com/watch?v=5A_cSFmU4w8,,55,213,0,0
Twin Warriors #cancer #awareness  #diagnosis #heath #wellness #twins #retinoblastoma #love #fighter,anXhBKgvtaU,The Oakley Twins' Journey,2025-03-22T23:28:59Z,https://www.youtube.com/watch?v=anXhBKgvtaU,,11,16637,478,9
Colon Cancer Awareness Month. 3 of 3.,ndNYmzuUlck,Kenneth Candido,2025-03-22T22:41:53Z,https://www.youtube.com/watch?v=ndNYmzuUlck,,45,108,4,3
Whole day of Radiation Oncologist #ytshorts #cancertreatment #cancerawareness #radiatontherapy #yt,5AdO0ZTTOWg,Dr Rekha Arya Cancer Specialist,2025-03-22T18:09:08Z,https://www.youtube.com/watch?v=5AdO0ZTTOWg,,31,4108,54,2
"No Shame, Get Screened!: Colon Cancer Awareness Month",PoX42Gn3Oc4,OUR NEWS,2025-03-22T14:00:48Z,https://www.youtube.com/watch?v=PoX42Gn3Oc4,"No Shame, Get Screened!: Colon Cancer Awareness Month Colon Cancer is now the primary cause of cancer-related deaths ...",52,1447,31,0
Colonoscopy vs. Cologuard: What's the Difference? (Colon Cancer Awareness),k9kf_10Hutc,Support Local: Baton Rouge,2025-03-21T14:27:49Z,https://www.youtube.com/watch?v=k9kf_10Hutc,"Get the facts about colon cancer screening! Dr. Matt Rolfsen explains the new screening guidelines (starting at 45), the ...",238,17848,0,0
#cancer #cancerawareness,z4Pk8BDTNNE,cowboycult863,2025-03-20T22:30:57Z,https://www.youtube.com/watch?v=z4Pk8BDTNNE,,19,90,3,0
#breastcancer #breastcancerawareness #cancerawareness #cancerjourney #cancerfighter #surgery,4GIhd_npvwM,Great Mich Adventure,2025-03-20T00:15:14Z,https://www.youtube.com/watch?v=4GIhd_npvwM,,45,505,7,2
15/31 10k a day for colon cancer awareness month 💙🩵 #running #coloncancer #vlog,p8-dl-cYvoQ,Laura-Jean Bainbridge,2025-03-19T20:31:00Z,https://www.youtube.com/watch?v=p8-dl-cYvoQ,,18,476,0,4
#cancer #cancerawareness #healthstories,MQWp78_oPXQ,Cultivating Health Narratives (Storytelling),2025-03-19T16:18:40Z,https://www.youtube.com/watch?v=MQWp78_oPXQ,,41,281,7,0
